Z,E,f0,X2i,alpha
70.0,110.0,2.6,-12.331554810251966,0.2829013195041787
70.0,110.0,2.8,-8.741960917039101,0.2005515376234856
70.0,110.0,3.0,-4.354678328555928,0.09990177752285818
70.0,110.0,3.2,4.616221204083586,-0.10590189881593134
70.0,110.0,3.4,-28.90669591694165,0.663155826109632
70.0,110.0,3.6,-18.806574044676687,0.4314463743184193
70.0,110.0,3.8,-9.604541470739179,0.22034021638908002
70.0,120.0,2.4,-14.556179515084606,0.3339369978174707
70.0,120.0,2.6,-10.7896052488763,0.24752706441353844
70.0,120.0,2.8,-6.840348725131605,0.15692617111020388
70.0,120.0,3.0,-0.7357165756840949,0.016878260141948286
70.0,120.0,3.2,24.063925751194947,-0.5520566102340939
70.0,120.0,3.4,-28.337753584569082,0.6501035760870985
70.0,120.0,3.6,-12.974254149105024,0.2976456476772032
70.0,120.0,3.8,-6.1806503593752184,0.14179186395924545
70.0,130.0,2.4,-13.05481450885971,0.2994938032768024
70.0,130.0,2.6,-9.171521221985978,0.21040618928306865
70.0,130.0,2.8,-4.3190121225395846,0.0990835500650081
70.0,130.0,3.0,6.943229834059401,-0.15928639266503405
70.0,130.0,3.2,-59.871321775410586,1.3735231437840758
70.0,130.0,3.4,-17.35301757618598,0.3980999675402579
70.0,130.0,3.6,-9.449366794501659,0.21678031487327667
70.0,130.0,3.8,-2.708511300020554,0.06213664314501286
70.0,140.0,2.4,-11.589167659313656,0.2658700280072791
70.0,140.0,2.6,-7.251675318698727,0.16636251858283213
70.0,140.0,2.8,-0.1813405557878251,0.004160179580059672
70.0,140.0,3.0,43.43706105009552,-0.9965006096586864
70.0,140.0,3.2,-24.610672895853813,0.5645996748386112
70.0,140.0,3.4,-12.723324005527335,0.2918889957534341
70.0,140.0,3.6,-6.611472776246849,0.15167547004788218
70.0,140.0,3.8,1.852582152588257,-0.042500555973801084
70.0,150.0,2.4,-10.008888541648366,0.22961644486618651
70.0,150.0,2.6,-4.612075415720665,0.10580678923597145
70.0,150.0,2.8,9.693177555421624,-0.22237363923787615
70.0,150.0,3.0,-45.46386374198007,1.0429980031124355
70.0,150.0,3.2,-16.650540073348335,0.381984253379903
70.0,150.0,3.4,-9.77943104044106,0.22435240226486652
70.0,150.0,3.6,-3.7402398683150073,0.08580578931772441
70.0,150.0,3.8,10.297914570997609,-0.23624706414592062
70.0,160.0,2.4,-8.111412842760377,0.18608597468603916
70.0,160.0,2.6,-0.14253331871576025,0.003269892933896332
70.0,160.0,2.8,79.87897040889881,-1.8325236741863036
70.0,160.0,3.0,-22.915104879433887,0.5257012198963767
70.0,160.0,3.2,-12.883614235335356,0.29556625447823154
70.0,160.0,3.4,-7.36782964918673,0.1690272444723738
70.0,160.0,3.6,-0.0804323880939512,0.0018452197693460243
70.0,160.0,3.8,36.80678694159925,-0.8443938134898371
70.0,170.0,2.4,-5.5150366425885915,0.12652185124337367
70.0,170.0,2.6,10.930642894893522,-0.2507626447415652
70.0,170.0,2.8,-40.17261424578853,0.9216101094257495
70.0,170.0,3.0,-16.69616368573089,0.38303091621700464
70.0,170.0,3.2,-10.36744491993672,0.23784217747616404
70.0,170.0,3.4,-4.947047429609394,0.11349146697403822
70.0,170.0,3.6,6.212225099616398,-0.14251622806536818
70.0,170.0,3.8,-45.038786095167374,1.0332461892474827
70.0,180.0,2.4,-1.248302398488886,0.02863762121700542
70.0,180.0,2.6,106.68153921977132,-2.4474081878887937
70.0,180.0,2.8,-23.037461978540346,0.5285082450704565
70.0,180.0,3.0,-13.476040214623527,0.3091572487873875
70.0,180.0,3.2,-8.272049963051366,0.1897711915131899
70.0,180.0,3.4,-1.957668830531503,0.04491137604555224
70.0,180.0,3.6,24.174714142209375,-0.5545982347482769
70.0,180.0,3.8,-21.511142554974832,0.4934925649266548
