Z,E,f0,alpha
70.0,50.0,3.725,0.03265397939428488
70.0,50.0,3.75,0.010330941113468
70.0,50.0,3.775,-0.01456090286090069
70.0,50.0,3.8,-0.04265478647391917
70.0,52.5,2.4,-0.47584140210033127
70.0,52.5,2.425,-0.6176917094691518
70.0,52.5,2.45,-0.8200765370375087
70.0,52.5,2.475,-1.131268263215947
70.0,52.5,2.5,-1.658603316650859
70.0,52.5,2.525,-2.594024749778135
70.0,52.5,2.55,-1.6719635443783107
70.0,52.5,2.575,3.2502607674282875
70.0,52.5,2.6,2.421189851588948
70.0,52.5,2.625,1.7710294431880622
70.0,52.5,2.65,1.3962853569258378
70.0,52.5,2.675,1.1603746019328387
70.0,52.5,2.7,0.9992445115814098
70.0,52.5,2.725,0.8821944457547976
70.0,52.5,2.75,0.793100035117131
70.0,52.5,2.775,0.7227757757509123
70.0,52.5,2.8,0.665633086323672
70.0,52.5,2.825,0.6180868013065078
70.0,52.5,2.85,0.5777369135768142
70.0,52.5,2.875,0.5429229010194613
70.0,52.5,2.9,0.5124699917763266
70.0,52.5,2.925,0.48553616247642023
70.0,52.5,2.95,0.46148648747752447
70.0,52.5,2.975,0.43977994184722863
70.0,52.5,3.0,0.4199374599079124
70.0,52.5,3.025,0.40159585905976086
70.0,52.5,3.05,0.3845079661129125
70.0,52.5,3.075,0.3684894989061234
70.0,52.5,3.1,0.3533861798693597
70.0,52.5,3.125,0.33906332122595906
70.0,52.5,3.15,0.32540249690067763
70.0,52.5,3.175,0.3122992694940484
70.0,52.5,3.2,0.29966094396312687
70.0,52.5,3.225,0.28740440360072367
70.0,52.5,3.25,0.27545413402726815
70.0,52.5,3.275,0.26374046264819356
70.0,52.5,3.3,0.2521979905916087
70.0,52.5,3.325,0.2407641728191901
70.0,52.5,3.35,0.22937799544676174
70.0,52.5,3.375,0.2179786979260559
70.0,52.5,3.4,0.20650448684478143
70.0,52.5,3.425,0.19489118529909522
70.0,52.5,3.45,0.18307075562325378
70.0,52.5,3.475,0.17096962242971767
70.0,52.5,3.5,0.15850670580449233
70.0,52.5,3.525,0.14559104878538878
70.0,52.5,3.55,0.13211888538508726
70.0,52.5,3.575,0.11796993996257878
70.0,52.5,3.6,0.10300266724234493
70.0,52.5,3.625,0.08704802158816828
70.0,52.5,3.65,0.06990116429449586
70.0,52.5,3.675,0.051310249512340665
70.0,52.5,3.7,0.030960630562903435
70.0,52.5,3.725,0.008453656054295178
70.0,52.5,3.75,-0.01672400002094521
70.0,52.5,3.775,-0.045246723793334956
70.0,52.5,3.8,-0.07801556076905757
70.0,55.0,2.4,-0.7798159522048828
70.0,55.0,2.425,-1.0714499118966052
70.0,55.0,2.45,-1.561884081306173
70.0,55.0,2.475,-2.4705086502041875
70.0,55.0,2.5,-2.7406457813792686
70.0,55.0,2.525,3.3967351007462803
70.0,55.0,2.55,2.629454714199182
70.0,55.0,2.575,1.8791556644604115
70.0,55.0,2.6,1.4607799892895383
70.0,55.0,2.625,1.2037712514931782
70.0,55.0,2.65,1.0310747164667038
70.0,55.0,2.675,0.9070465740069324
70.0,55.0,2.7,0.8134285198372722
70.0,55.0,2.725,0.740006770959495
70.0,55.0,2.75,0.6806511509412627
70.0,55.0,2.775,0.6314694334884159
70.0,55.0,2.8,0.5898764353901842
70.0,55.0,2.825,0.5540962828542527
70.0,55.0,2.85,0.5228660363909291
70.0,55.0,2.875,0.49529078796143466
70.0,55.0,2.9,0.4707090246637382
70.0,55.0,2.925,0.44858659110173155
70.0,55.0,2.95,0.4284403508450641
70.0,55.0,2.975,0.40987146154925524
70.0,55.0,3.0,0.39260246698250645
70.0,55.0,3.025,0.37643830269715084
70.0,55.0,3.05,0.3612224314290153
70.0,55.0,3.075,0.34681938932976725
70.0,55.0,3.1,0.33310991254508476
70.0,55.0,3.125,0.3199887297974542
70.0,55.0,3.15,0.30736253769543936
70.0,55.0,3.175,0.29514796708457264
70.0,55.0,3.2,0.28326966624249206
70.0,55.0,3.225,0.2716585693642934
70.0,55.0,3.25,0.2602503530555661
70.0,55.0,3.275,0.24898405012828728
70.0,55.0,3.3,0.2378007771577838
70.0,55.0,3.325,0.22664252847220034
70.0,55.0,3.35,0.21545098810080715
70.0,55.0,3.375,0.2041663095050064
70.0,55.0,3.4,0.19272580893036387
70.0,55.0,3.425,0.18106251072200047
70.0,55.0,3.45,0.16910347067330977
70.0,55.0,3.475,0.15676778483762907
70.0,55.0,3.5,0.14396416435971196
70.0,55.0,3.525,0.13058792205105163
70.0,55.0,3.55,0.11651720430783614
70.0,55.0,3.575,0.1016078933554439
70.0,55.0,3.6,0.0856837216999639
